tooth,sex,stage,stage_index,theta,se_theta,n,mode,median,mean,ln_sd,se_ln_sd
M2,female,A1_2,13,2.624,0.0158,43,13.648,13.7908,13.8627,0.102,0.0027
M2,female,Ac,14,2.7037,0.0173,37,14.7803,14.9349,15.0128,0.102,0.0027
M2,male,Ci,1,1.2635,0.0174,57,3.483,3.5378,3.5655,0.1249,0.003
M2,male,Cco,2,1.3903,0.0157,69,3.9539,4.0161,4.0475,0.1249,0.003
M2,male,Coc,3,1.4896,0.0173,57,4.3667,4.4353,4.4701,0.1249,0.003
M2,male,Cr1_2,4,1.6055,0.0189,48,4.9033,4.9803,5.0193,0.1249,0.003
M2,male,Cr3_4,5,1.8115,0.0149,79,6.0249,6.1196,6.1675,0.1249,0.003
M2,male,Crc,6,1.9445,0.0137,90,6.8819,6.9901,7.0449,0.1249,0.003
M2,male,Ri,7,2.0563,0.0129,99,7.696,7.817,7.8782,0.1249,0.003
M2,male,Cli,8,2.1539,0.015,72,8.485,8.6184,8.6859,0.1249,0.003
M2,male,R1_4,9,2.2299,0.015,72,9.155,9.2989,9.3718,0.1249,0.003
M2,male,R1_2,10,2.3688,0.0144,78,10.5192,10.6846,10.7682,0.1249,0.003
M2,male,R3_4,11,2.4452,0.0149,72,11.3543,11.5329,11.6232,0.1249,0.003
M2,male,Rc,12,2.5707,0.0162,61,12.8726,13.075,13.1774,0.1249,0.003
M2,male,A1_2,13,2.644,0.0172,54,13.8516,14.0694,14.1795,0.1249,0.003
M2,male,Ac,14,2.7092,0.0181,49,14.7848,15.0173,15.1348,0.1249,0.003
M3,female,Ci,1,2.2009,0.0141,61,8.9274,9.0331,9.0865,0.1085,0.0038
M3,female,Cco,2,2.2749,0.0131,70,9.6131,9.7269,9.7844,0.1085,0.0038
M3,female,Coc,3,2.3504,0.0172,41,10.367,10.4898,10.5517,0.1085,0.0038
M3,female,Cr1_2,4,2.4168,0.0184,36,11.0787,11.2099,11.2761,0.1085,0.0038
M3,female,Cr3_4,5,2.51,0.0181,37,12.1609,12.3049,12.3776,0.1085,0.0038
M3,female,Crc,6,2.5852,0.0188,34,13.1107,13.2659,13.3443,0.1085,0.0038
M3,female,Ri,7,2.6174,0.0185,35,13.5397,13.7001,13.7809,0.1085,0.0038
M3,female,Cli,8,2.6656,0.0215,26,14.2083,14.3766,14.4614,0.1085,0.0038
M3,female,R1_4,9,2.7204,0.0201,30,15.0087,15.1864,15.276,0.1085,0.0038
M3,female,R1_2,10,2.8156,0.0178,25,16.5077,16.7032,16.8018,0.1085,0.0038
M3,female,R3_4,11,2.8156,0.0178,13,16.5077,16.7032,16.8018,0.1085,0.0038
