tooth,sex,stage,stage_index,ln_mu,ln_sigma,mode,median,mean,sd,hpd_low,opt,hpd_high
M3,female,Ci,1,2.2379,0.1106,9.2597,9.3736,9.4311,1.0461,7.54,9.37,11.66
M3,female,Cco,2,2.3126,0.1107,9.9782,10.1012,10.1632,1.1282,8.12,10.1,12.56
M3,female,Coc,3,2.3836,0.1102,10.713,10.8439,10.9099,1.2057,8.73,10.84,13.48
M3,female,Cr1_2,4,2.4634,0.1118,11.5988,11.7447,11.8183,1.3252,9.42,11.74,14.64
M3,female,Cr3_4,5,2.5476,0.1106,12.6209,12.7763,12.8547,1.4265,10.27,12.78,15.89
M3,female,Crc,6,2.6012,0.1088,13.3219,13.4805,13.5606,1.4798,10.88,13.48,16.71
M3,female,Ri,7,2.6413,0.1091,13.8655,14.0314,14.1151,1.5439,11.31,14.03,17.41
M3,female,Cli,8,2.6921,0.1084,14.5906,14.7631,14.8501,1.6148,11.9,14.78,18.34
M3,female,R1_4,9,2.7627,0.1062,15.665,15.8425,15.932,1.6961,12.77,15.93,19.86
M3,female,R1_2,10,,,,,,,,,
M3,female,R3_4,11,,,,,,,13.73,17.02,21.09
M3,female,Rc,12,,,,,,,14.28,17.69,21.92
M3,female,A1_2,13,,,,,,,,,
M3,male,Ci,1,2.2664,0.1072,9.5345,9.6446,9.7002,1.0426,7.81,9.64,11.91
M3,male,Cco,2,2.3278,0.108,10.1369,10.2559,10.3159,1.1177,8.29,10.26,12.69
M3,male,Coc,3,2.394,0.1076,10.8317,10.9578,11.0214,1.1893,8.86,10.96,13.55
M3,male,Cr1_2,4,2.4546,0.1075,11.5081,11.6418,11.7092,1.262,9.42,11.64,14.39
M3,male,Cr3_4,5,2.5129,0.1074,12.1998,12.3413,12.4126,1.3368,9.99,12.34,15.25
M3,male,Crc,6,2.5725,0.1075,12.9477,13.0983,13.1743,1.421,10.6,13.1,16.19
M3,male,Ri,7,2.6304,0.1071,13.7216,13.8798,13.9596,1.4989,11.24,13.88,17.15
M3,male,Cli,8,2.6807,0.1062,14.4323,14.596,14.6785,1.5634,11.83,14.6,18.03
M3,male,R1_4,9,2.7371,0.1051,15.2732,15.4427,15.5282,1.6361,12.51,15.48,19.15
M3,male,R1_2,10,2.7848,0.0999,16.0352,16.196,16.277,1.63,13.21,16.3,20.11
M3,male,R3_4,11,2.8098,0.0963,16.454,16.6073,16.6845,1.6104,13.61,16.79,20.7
M3,male,Rc,12,2.8311,0.0924,16.82,16.9644,17.037,1.5781,13.99,17.25,21.26
M3,male,A1_2,13,2.8594,0.0858,17.3238,17.4519,17.5162,1.5058,14.55,17.97,22.2
